题目,秩序,自由,商业,同人,扩张,保守,精英,民粹
比起取悦观众，晚会应当优先演员的体验。,0,0,0,0,0,0,1,0
服从团委的任何管理是每一名社团成员的职责。,1,0,0,0,0,0,0,0
执委会应当削减部分节目以保证晚会的观感。,1,0,0,0,0,0,1,0
为了晚会的效果，接受商业赞助是正当的。,0,0,1,0,1,0,0,0
统一组织的社团节目比自发的节目更优质。,1,0,1,0,0,0,1,0
应当取消统一组织的节目以换取更多样化的晚会内容。,0,1,0,1,0,0,0,1
有能力的内容创作者应当主动承担更多的社团活动职责。,0,0,0,1,0,0,1,0
前执委的意见也是重要的。,0,0,0,0,0,1,1,0
有钱或能力的节目组应当得到更多的支持。,0,0,1,0,0,0,1,0
每个节目都应当得到社团的技术支持。,1,0,0,1,0,0,0,1
应募社团活动所做的产出应当属于社团而非创作者自己。,0,0,1,0,0,0,0,0
暴力作为社团维护秩序的最后手段是必要的。,1,0,0,0,0,0,0,0
维护与团委的良好关系比展现社团文化更重要。,1,0,0,0,0,1,0,0
消费内容比产出内容更加重要,0,0,0,0,0,0,0,1
这个社团是我加入的最好的社团。,1,0,0,0,0,0,0,0
这个社团应当被废除。,0,1,0,1,0,0,0,0
应当给予为社团奉献的人物质报酬,0,0,1,0,0,0,0,0
我喜欢的东西应当尽可能多地传播。,0,0,0,0,1,0,0,1
维护执委会的权威非常重要。,1,0,0,0,0,0,1,0
应当限制砸钱为社团奉献的行为,0,0,0,1,0,0,0,1
为了保护社团，应当限制社团活动的范围和形式。,1,0,0,0,0,1,0,0
支持社团参评优秀社团,1,0,1,0,1,0,0,0
社团的存在会损害社群的自由。,0,1,0,0,0,0,0,0
不管我的观点如何，重要的是和社团保持一致。,1,0,0,0,0,0,0,0
社团的任何惯例都应当随时被怀疑。,0,1,0,0,0,0,0,1
如果大部分人喜欢玩烂梗，执委会就应当这么做。,0,0,0,0,1,0,0,1
社团管理层越强越好。,1,0,0,0,0,0,1,0
团委保护了社团不成为腐烂的集体。,1,0,1,0,0,0,0,0
比起舞台效果，更重要的是参与者的意见是否被认真对待。,0,1,0,1,0,0,0,1
在社团中我获得的更多的是归属感而不是高质量内容。,0,0,0,1,0,0,0,1
AI技术为社团提供更美好的未来。,0,0,1,0,1,0,0,0
新人应当接受社团文化的教育。,1,0,0,0,0,1,0,0
我不了解社团有什么独特的文化。,0,1,0,0,0,0,0,0
社会风潮是我们社团存在的最大威胁之一。,0,1,0,0,0,1,0,0
我们社团应当积极回应来自高校和社会的误解和敌意。,1,0,0,0,1,0,0,0
过去的社团氛围比现在好。,0,0,0,0,0,1,0,0
为了社团活动我愿意牺牲个人生活。,0,0,0,1,0,0,0,0
哪怕社团氛围会被破坏，也应当接纳任何人加入。,0,0,0,0,1,0,0,1
即使社团常年缺人缺钱，也绝对不能使用AI工具来产出物料。,0,0,0,1,0,1,0,0
如果不能建立起深刻的友情，社团活动是缺乏灵魂的。,0,0,0,1,0,0,0,1
女装是流行且正当的社团风尚。,0,1,0,0,1,0,0,0
爱好是平等的，没有高低贵贱之分。,0,0,0,1,0,0,0,1
应当推崇成员在社团内寻找爱情。,0,0,0,0,1,0,0,1
多聊二次元，少讨论现实生活。,0,0,0,1,0,1,0,0
软色情对于二次元像空气一样到处存在、习以为常、不可分割。,0,1,0,0,0,1,0,0
应当积极改造亚文化糟粕以融入主流社会。,1,0,0,0,1,0,0,0
AI技术是危险的技术。,0,0,0,1,0,1,0,0
社团内集资比寻求学校或公司赞助更有意义,0,1,0,1,0,0,0,1
如果连作品的监督和声优都不认识，其不配自称为同好。,0,0,0,0,0,1,1,0
不知道《EVA》《东方project》《轻音少女》等，照样当二次元。,0,0,0,0,1,0,0,1
